'id_waktu';'id_lokasi';'id_unit_ternak';'jenis_kelamin';'tipe_ternak';'tipe_usia';'jumlah_lahir';'jumlah_mati';'jumlah_masuk';'jumlah_keluar';'jumlah';'created_dt';'modified_dt'
1840;46200;999;'';'';'';;;;;4145;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;46200;999;'';'';'';;;;;4221;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;46200;999;'';'';'';;;;;4479;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;46200;999;'';'';'';;;;;4569;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;46200;999;'';'';'';;;;;4371;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;46208;999;'';'';'';;;;;6517;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;46208;999;'';'';'';;;;;6609;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;46208;999;'';'';'';;;;;7014;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;46208;999;'';'';'';;;;;7155;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;46208;999;'';'';'';;;;;6844;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;46215;999;'';'';'';;;;;4003;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;46215;999;'';'';'';;;;;4082;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;46215;999;'';'';'';;;;;4332;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;46215;999;'';'';'';;;;;4420;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;46215;999;'';'';'';;;;;4228;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;46226;999;'';'';'';;;;;8635;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;46226;999;'';'';'';;;;;8738;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;46226;999;'';'';'';;;;;9274;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;46226;999;'';'';'';;;;;9461;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;46226;999;'';'';'';;;;;9050;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;46238;999;'';'';'';;;;;5502;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;46238;999;'';'';'';;;;;5602;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;46238;999;'';'';'';;;;;5945;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;46238;999;'';'';'';;;;;6065;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;46238;999;'';'';'';;;;;5802;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;46294;999;'';'';'';;;;;459;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;46294;999;'';'';'';;;;;547;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;46294;999;'';'';'';;;;;581;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;46294;999;'';'';'';;;;;593;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;46294;999;'';'';'';;;;;567;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;46417;999;'';'';'';;;;;2377;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;46417;999;'';'';'';;;;;2476;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;46417;999;'';'';'';;;;;2665;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;46417;999;'';'';'';;;;;2719;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;46417;999;'';'';'';;;;;2600;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;46285;999;'';'';'';;;;;1377;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;46285;999;'';'';'';;;;;1466;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;46285;999;'';'';'';;;;;1555;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;46285;999;'';'';'';;;;;1586;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;46285;999;'';'';'';;;;;1517;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;46252;999;'';'';'';;;;;4326;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;46252;999;'';'';'';;;;;4422;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
