'id';'provinsi';'kabupaten_kota';'kecamatan';'longitude';'latitude'
1;ACEH;;;96.911874086085;4.2257285830534
1531;ACEH;ACEH BARAT;;96.18087911996687;4.454467876803617
1713;ACEH;ACEH BARAT;ARONGAN LAMBALEK;95.96542745986405;4.303390760696841
1695;ACEH;ACEH BARAT;BUBON;96.10202015195082;4.298243057571892
1532;ACEH;ACEH BARAT;JOHAN PAHWALAN;96.13646671778544;4.148563944316403
1554;ACEH;ACEH BARAT;KAWAY XVI;96.19691738718574;4.2992329010068895
1767;ACEH;ACEH BARAT;MEUREUBO;96.15857290793664;4.161746339916159
1741;ACEH;ACEH BARAT;PANTE CEUREUMEN;96.31182904526727;4.436900856252213
1846;ACEH;ACEH BARAT;PANTON REU;96.20435962770256;4.433641967358876
1662;ACEH;ACEH BARAT;SAMATIGA;96.055493411707;4.291798433706564
1599;ACEH;ACEH BARAT;SUNGAI MAS;96.26388918623948;4.623262498272922
1618;ACEH;ACEH BARAT;WOYLA;96.10684604200468;4.395172009697681
1794;ACEH;ACEH BARAT;WOYLA BARAT;96.03019615950112;4.382691591905664
1819;ACEH;ACEH BARAT;WOYLA TIMUR;96.07805014501108;4.414025475913727
5032;ACEH;ACEH BARAT DAYA;;96.88029471945718;3.8226302105717496
5141;ACEH;ACEH BARAT DAYA;BABAH ROT;96.7188038712029;3.89950771708154
5033;ACEH;ACEH BARAT DAYA;BLANG PIDIE;96.83520521378242;3.7413709387132728
5166;ACEH;ACEH BARAT DAYA;JEUMPA;96.80819408100926;3.7700319023729874
5119;ACEH;ACEH BARAT DAYA;KUALA BATEE;96.76381310964614;3.842827879259534
5179;ACEH;ACEH BARAT DAYA;LEMBAH SABIL;96.9447037440001;3.591319415599102
5070;ACEH;ACEH BARAT DAYA;MANGGENG;97.0213326813484;3.676704413822902
5156;ACEH;ACEH BARAT DAYA;SETIA;96.88925556470674;3.715121797855184
5089;ACEH;ACEH BARAT DAYA;SUSOH;96.83350048734788;3.72671009451024
5054;ACEH;ACEH BARAT DAYA;TANGAN-TANGAN;96.90238881547133;3.692000379443897
1866;ACEH;ACEH BESAR;;95.51516820033424;5.380104502982899
2433;ACEH;ACEH BESAR;BAITUSSALAM;95.42655679042956;5.618060460867065
2467;ACEH;ACEH BESAR;BLANG BINTANG;95.42863068252856;5.496962350696832
2102;ACEH;ACEH BESAR;DARUL IMARAH;95.29245823988182;5.503472895287678
2418;ACEH;ACEH BESAR;DARUL KAMAL;95.31836289746396;5.46422087737271
2275;ACEH;ACEH BESAR;DARUSSALAM;95.39577193944751;5.594010213812696
1925;ACEH;ACEH BESAR;INDRAPURI;95.4877440644016;5.429834698931941
2176;ACEH;ACEH BESAR;INGIN JAYA;95.38207334360978;5.520583914556555
2350;ACEH;ACEH BESAR;KOTA COT GLIE;95.50586295687656;5.402371543744576
2336;ACEH;ACEH BESAR;KOTA JANTHO;95.60983550545215;5.241325251939519
2447;ACEH;ACEH BESAR;KRUENG BARONA JAYA;95.36947685265422;5.5511308719753725
2227;ACEH;ACEH BESAR;KUTA BARO;95.38760363937234;5.539216781101067
2383;ACEH;ACEH BESAR;KUTA MALAKA;95.39133137377536;5.424040944869242
2323;ACEH;ACEH BESAR;LEMBAH SEULAWAH;95.64515490739464;5.396276222532423
2460;ACEH;ACEH BESAR;LEUPUNG;95.3090684898546;5.3466976427927095
1896;ACEH;ACEH BESAR;LHOKNGA;95.25731747579518;5.512485385972941
1867;ACEH;ACEH BESAR;LHOONG;95.2910042022093;5.216635565131621
2162;ACEH;ACEH BESAR;MESJID RAYA;95.3986236102282;5.620194257235429
2026;ACEH;ACEH BESAR;MONTASIK;95.46951436022356;5.478306703834128
2135;ACEH;ACEH BESAR;PEUKAN BADA;95.2288090386402;5.536978336030115
2305;ACEH;ACEH BESAR;PULO ACEH;95.16840633451572;5.608551467208677
1978;ACEH;ACEH BESAR;SEULIMEUM;95.57483364449972;5.364771442082055
2399;ACEH;ACEH BESAR;SIMPANG TIGA;95.34094464769883;5.459865194472665
2066;ACEH;ACEH BESAR;SUKAMAKMUR;95.38352425149466;5.470294314257405
5342;ACEH;ACEH JAYA;;95.67808932280728;4.832424749549109
5489;ACEH;ACEH JAYA;DARUL HIKMAH;95.51808841924873;4.831734741038549
5474;ACEH;ACEH JAYA;INDRA JAYA;95.42921293269792;5.061332445669456
5418;ACEH;ACEH JAYA;JAYA;;
5366;ACEH;ACEH JAYA;KRUENG SABEE;95.58263590623376;4.640158080512932
5453;ACEH;ACEH JAYA;PANGA;95.72019482595982;4.561661989197606
5509;ACEH;ACEH JAYA;PASIE RAYA;95.85090149002797;4.470349172217948
5398;ACEH;ACEH JAYA;SAMPOINIET;95.54978430248865;4.979720676499201
5384;ACEH;ACEH JAYA;SETIA BHAKTI;95.70987139613814;4.895901514891538
5343;ACEH;ACEH JAYA;TEUNOM;95.83641855496614;4.453323881445932
2;ACEH;ACEH SELATAN;;97.43651771864872;3.161853840916798
3;ACEH;ACEH SELATAN;BAKONGAN;97.4608730710212;2.960325743429537
242;ACEH;ACEH SELATAN;BAKONGAN TIMUR;97.56834099652744;2.924239389167105
33;ACEH;ACEH SELATAN;KLUET SELATAN;97.32835072017564;3.060201146728973
218;ACEH;ACEH SELATAN;KLUET TENGAH;97.29416505450564;3.415772848666557
232;ACEH;ACEH SELATAN;KLUET TIMUR;97.4114576837082;3.108346161362174
11;ACEH;ACEH SELATAN;KLUET UTARA;97.34081480666065;3.136355845251368
259;ACEH;ACEH SELATAN;KOTA BAHAGIA;97.49169956319658;2.9914893124147297
51;ACEH;ACEH SELATAN;LABUHAN HAJI;97.03082320490417;3.613433938179378
202;ACEH;ACEH SELATAN;LABUHAN HAJI BARAT;96.99075723798232;3.610501571046545
189;ACEH;ACEH SELATAN;LABUHAN HAJI TIMUR;97.0490283542848;3.5097416236942984
68;ACEH;ACEH SELATAN;MEUKEK;97.0885221880218;3.442410186346373
167;ACEH;ACEH SELATAN;PASI RAJA;97.29201652243586;3.204305373237885
92;ACEH;ACEH SELATAN;SAMADUA;97.1500931925499;3.3255749217990087
121;ACEH;ACEH SELATAN;SAWANG;97.14945350947106;3.4087155231960256
137;ACEH;ACEH SELATAN;TAPAKTUAN;97.24683366205394;3.2684745414903795
154;ACEH;ACEH SELATAN;TRUMON;97.7134589830844;2.642099736000128
270;ACEH;ACEH SELATAN;TRUMON TENGAH;97.64782042896698;2.91484653539717
250;ACEH;ACEH SELATAN;TRUMON TIMUR;97.8496035906436;2.908495087489221
4277;ACEH;ACEH SINGKIL;;97.84505654577988;2.3479697391579712
4369;ACEH;ACEH SINGKIL;DANAU PARIS;98.13489970436248;2.2385351554256188
4325;ACEH;ACEH SINGKIL;GUNUNG MERIAH;97.99217097112933;2.3980374770195567
4351;ACEH;ACEH SINGKIL;KOTA BAHARU;97.80847448056151;2.461882523256734
4395;ACEH;ACEH SINGKIL;KUALA BARU;97.7547317849764;2.310882075680613
4278;ACEH;ACEH SINGKIL;PULAU BANYAK;97.42120614869204;2.182484702228226
4400;ACEH;ACEH SINGKIL;PULAU BANYAK BARAT;97.29463447442204;2.1805425566198093
4282;ACEH;ACEH SINGKIL;SIMPANG KANAN;98.04581920388192;2.447559162519915
4308;ACEH;ACEH SINGKIL;SINGKIL;97.78782221928071;2.29991969283014
4361;ACEH;ACEH SINGKIL;SINGKIL UTARA;98.00924879931829;2.2788823143299552
4388;ACEH;ACEH SINGKIL;SINGKOHOR;97.90038429279105;2.463312712849673
4376;ACEH;ACEH SINGKIL;SURO MAKMUR;98.03725087773677;2.491019668799569
5757;ACEH;ACEH TAMIANG;;97.98299311718904;4.224494150594039
5935;ACEH;ACEH TAMIANG;BANDA MULIA;98.12843642734244;4.423129923409693
5946;ACEH;ACEH TAMIANG;BANDAR PUSAKA;97.884855076306;4.2759832666074935
5795;ACEH;ACEH TAMIANG;BENDAHARA;98.09380945120418;4.376530542777753
5829;ACEH;ACEH TAMIANG;KARANG BARU;98.08318383437796;4.349411503272065
5892;ACEH;ACEH TAMIANG;KEJURUAN MUDA;97.98021336740231;4.2183693493715815
5886;ACEH;ACEH TAMIANG;KOTA KUALASINPANG;98.06139850690504;4.285434491424648
5758;ACEH;ACEH TAMIANG;MANYAK PAYED;98.0710307240745;4.440075826844189
5918;ACEH;ACEH TAMIANG;RANTAU;98.1070598662288;4.358191800631471
5968;ACEH;ACEH TAMIANG;SEKERAK;97.83118976609892;4.332155425497417
5861;ACEH;ACEH TAMIANG;SERUWAY;98.25227614128882;4.347566169757888
5908;ACEH;ACEH TAMIANG;TAMIANG HULU;97.92873305584656;4.235168416249924
5962;ACEH;ACEH TAMIANG;TENGGULUN;98.02533814592012;4.091563282250667
1221;ACEH;ACEH TENGAH;;96.88130519691292;4.519888080656494
1478;ACEH;ACEH TENGAH;ATU LINTANG;96.7761565689863;4.4276365024576
1283;ACEH;ACEH TENGAH;BEBESEN;96.8280910445769;4.62575385915537
1501;ACEH;ACEH TENGAH;BIES;96.79009497517792;4.608546782029644
1344;ACEH;ACEH TENGAH;BINTANG;96.9393708652738;4.632164260034081
1441;ACEH;ACEH TENGAH;CELALA;96.69433555635209;4.559533462815118
1490;ACEH;ACEH TENGAH;JAGONG JEGET;96.75230410377064;4.401281414100186
1395;ACEH;ACEH TENGAH;KEBAYAKAN;96.83563627765784;4.646777218711699
1369;ACEH;ACEH TENGAH;KETOL;96.72490926887724;4.675465010280938
1416;ACEH;ACEH TENGAH;KUTE PANANG;96.7378305021252;4.717610554588801
1459;ACEH;ACEH TENGAH;LAUT TAWAR;96.87404747593968;4.606296749679975
1222;ACEH;ACEH TENGAH;LINGE;96.8253591580049;4.489866239659714
1312;ACEH;ACEH TENGAH;PEGASING;96.8400881407414;4.5669623354959175
1514;ACEH;ACEH TENGAH;RUSIP ANTARA;96.47543856806152;4.685311187019747
1249;ACEH;ACEH TENGAH;SILIH NARA;96.73124357261877;4.637062344946461
281;ACEH;ACEH TENGGARA;;97.69759716542382;3.368931368624382
428;ACEH;ACEH TENGGARA;BABUL MAKMUR;97.9423682818394;3.28051591312659
548;ACEH;ACEH TENGGARA;BABUL RAHMAH;97.85539450644684;3.3384105916695472
381;ACEH;ACEH TENGGARA;BABUSSALAM;97.807600373754;3.492211291244874
409;ACEH;ACEH TENGGARA;BADAR;97.81906892167808;3.622116907161998
347;ACEH;ACEH TENGGARA;BAMBEL;97.84679408560233;3.445962887786357
504;ACEH;ACEH TENGGARA;BUKIT TUSAM;97.90602655339508;3.4449054278103888
450;ACEH;ACEH TENGGARA;DARUL HASANAH;97.628487571332;3.551975888993419
602;ACEH;ACEH TENGGARA;DELENG POKHKISEN;97.81742854310212;3.521259307813152
576;ACEH;ACEH TENGGARA;KETAMBE;97.75523159048169;3.63043606354786
282;ACEH;ACEH TENGGARA;LAWE ALAS;97.55289483810932;3.443253558389761
479;ACEH;ACEH TENGGARA;LAWE BULAN;97.81829648619744;3.4800273863143487
311;ACEH;ACEH TENGGARA;LAWE SIGALA-GALA;97.91596888540046;3.3144253978963207
