'id';'id_lokasi';'nama_unit';'alamat';'longitude';'latitude'
1;27721;Paguyuban Ternak;Jl TB Simatupang no.15 A;;
4;47811;Paguyuban Intan;Jawa Timur;;
5;44851;Paguyuban Alusyanti;Jawa Timur;;
6;27760;Perkumpulan Unindra;Jalan TB Simatupang no 58 C;;
7;46319;Ferdiansyah;Senduro Lumajang;;
8;46319;Ghifa Farm;Senduro Lumajang;;
9;46319;Afik Farm;Senduro Lumajang;;
10;46319;Zahran Farm;Senduro Lumajang;;
11;47417;Wily Farm;Probolinggo;;
12;47590;Zahran Farming;Maron Probolinggo;;
13;47403;Laili Farm;Banyuanyar Probolinggo;;
14;47465;Retno Farm;Gading Probolinggo;;
15;47403;Rizky Agung Farm;Banyuanyar Probolinggo;;
2;46319;Intan Farm;Senduro;;
17;47359;Kampong Embik;-;;
18;47427;NYX Farm;-;;
19;47407;Barkah Ratu Farm;-;;
20;47547;Yes Farm;-;;
21;47561;Fauzi Farm;-;;
22;47561;MWR Farm;-;;
23;47404;PROF Farm;-;;
24;47589;Roza Farm;-;;
25;47564;Barokah Jaya Farm;-;;
26;47539;Sapto Sukses Farm;-;;
27;47453;Lancar Jaya;-;;
28;47500;Hayat Berkah Jaya;-;;
29;47547;Zaini Farm;-;;
30;46319;Rikman Puskeswan;Senduro;;
31;46362;Edwin DKPP Lumajang;-;;
32;46320;Mantri Balap Farm;-;;
33;46322;Eko Farm;-;;
34;46322;EL Farm;-;;
36;46321;Tumpi Balap Farm;-;;
37;46321;Susu Wedos Farm;-;;
38;46309;Jiwo Etawa;-;;
39;46322;Sumber Mas Telutur;-;;
40;46309;Sumber Mas Jambekumbu;-;;
3;46321;Goatzilla Farm Demo;Graud zamzam rowobuyiel labuk lor lungiang;;
35;46322;Sumber Mas Kandangtepus;-;;
41;46321;Goatzilla Farm;-;;
42;46319;Amir Farm;Senduro;;
999;999;;;;
