'id_waktu';'id_lokasi';'id_unit_ternak';'jenis_kelamin';'tipe_ternak';'tipe_usia';'jumlah_lahir';'jumlah_mati';'jumlah_masuk';'jumlah_keluar';'jumlah';'created_dt';'modified_dt'
1;44157;999;'';'';'';;;;;110729;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
1;44341;999;'';'';'';;;;;83961;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
1;44670;999;'';'';'';;;;;222019;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
1;44842;999;'';'';'';;;;;118075;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
1;46199;999;'';'';'';;;;;80369;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
1;46426;999;'';'';'';;;;;61139;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
1;46706;999;'';'';'';;;;;70473;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
1;46949;999;'';'';'';;;;;22926;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
1;47192;999;'';'';'';;;;;65919;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
1;48091;999;'';'';'';;;;;38212;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
1;48786;999;'';'';'';;;;;106213;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
1;49114;999;'';'';'';;;;;151734;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
1;49641;999;'';'';'';;;;;39866;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
1;49895;999;'';'';'';;;;;71696;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
1;50132;999;'';'';'';;;;;95266;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
1;50591;999;'';'';'';;;;;107002;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
1;50940;999;'';'';'';;;;;74834;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
1;51442;999;'';'';'';;;;;70517;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
1;51817;999;'';'';'';;;;;78493;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
1;52117;999;'';'';'';;;;;53845;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
1;52318;999;'';'';'';;;;;57976;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
1;52521;999;'';'';'';;;;;170297;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
1;52883;999;'';'';'';;;;;140202;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
1;52933;999;'';'';'';;;;;125808;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
1;52958;999;'';'';'';;;;;188654;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
1;53021;999;'';'';'';;;;;63179;2024-01-01 00:00:00 +0700;2024-01-01 00:00:00 +0700
